Item #,Item Title,Collection,Product Type,WebDescription,Unit Price,MSRP,Image
FR1314,14K Yellow Diamond Ring 1/8 ctw,Mixables,Ring,This Mixables ring is embellished with sparkling Yellow Diamonds totaling 1/10 ctw. framed in 14K white gold.,,299,FR1314.jpg
FR1356AW,14K Diamond Band 1/4 ctw,Classics,Anniversary Band,"Crafted from 14K White Gold, this gorgeous diamond band is set with 49 round-cut diamonds, totaling 1/4 ctw.",,0,FR1356AW.jpg
FR1357AW,14K Diamond Band 1/2 ctw,Classics,Anniversary Band,"Crafted from 14K White Gold, this gorgeous diamond band is set with 58 round-cut diamonds, totaling 1/2 ctw.",,0,FR1357AW.jpg
FR1358AW,14K Diamond Band 1 ctw,Classics,Anniversary Band,"Crafted from 14K White Gold, this gorgeous diamond band is set with 74 round-cut diamonds, totaling 1 ctw.",,0,FR1358AW.jpg
FR1393,Silver Diamond Infinity Ring 1/4 ctw,Classics,Diamond Fashion Ring,This silver Diamond Infinity ring is accented with 39 round cut diamonds totaling 1/4 ctw.,,200,FR1393.jpg
FR1417BL,Silver Blue Diamond Cross Ring 1/4 ctw,Classics,Diamond Fashion Ring,This silver Blue Diamond cross ring is set with 57 round-cut Blue Diamonds totaling 1/4 ctw.,,200,FR1417BL.jpg
FR1417BLK,Silver Black Diamond Cross Ring 1/4 ctw,Classics,Diamond Fashion Ring,This silver Yellow Diamond cross ring is set with 57 round-cut Black Diamonds totaling 1/4 ctw.,,200,FR1417BLK.jpg
FR1417DB,Silver Brown Diamond Cross 1/4 ctw,Classics,Diamond Fashion Ring,This silver Yellow Diamond cross ring is set with 57 round-cut Brown Diamonds totaling 1/4 ctw.,,200,FR1417DB.jpg
FR1417GRN,Silver Green Diamond Cross Ring 1/4 ctw,Classics,Diamond Fashion Ring,This silver Yellow Diamond cross ring is set with 57 round-cut Green Diamonds totaling 1/4 ctw.,,200,FR1417GRN.jpg
FR1417YEL,Silver Yellow Diamond Cross Ring 1/4 ctw,Classics,Diamond Fashion Ring,This silver Yellow Diamond cross ring is set with 57 round-cut Yellow Diamonds totaling 1/4 ctw.,,200,FR1417YEL.jpg
FR1418,Silver Black Diamond Men's Ring 1/4 ctw,Classics,Diamond Fashion Ring,A textured two-tone Men's Silver band is set with a 1/4 ctw. Of round-cut Black Diamonds.,,200,FR1418.jpg
FR1419,Silver Diamond Men's Ring 1/4 ctw,Classics,Diamond Fashion Ring,This Silver Men's Diamond Ring features 44 round-cut diamonds totaling 1/4 ctw.,,290.2382,FR1419.jpg
FR1427,14K Diamond Channel Set Band 1 ctw,Classics,Diamond Fashion Ring,"Crafted from 14K White Gold, this channel set diamond band features 12 round-cut diamonds totaling 1 ctw.",,945.7701,FR1427.jpg
FR1432,14K Diamond Ring 1/2 ctw,Classics,Diamond Fashion Ring,A criss-cross 14K White Gold band is set with 1/2 ctw of round-cut diamonds.,,10288.0972,FR1432.jpg
FR1437,Silver Diamond Ring,Classics,Diamond Fashion Ring,A criss-cross 14K White Gold band is set with 1/2 ctw of round-cut diamonds.,,700,FR1437.jpg
FR1444,14K Diamond Ring 1 ctw,Classics,Diamond Fashion Ring,This 14K Diamond fashion ring is set with 49 round-cut diamonds weighing 1 ctw.,,1210.6562,FR1444.jpg
FR1445,14K Diamond Ring 1/2 ctw,Classics,Diamond Fashion Ring,This gorgeous 14K White Gold Diamond ring features three rows of round-cut diamonds and a cluster of stones at center. Total diamond weight is 1/2 ctw.,,1210.6562,FR1445.jpg
FR1447,10K Diamond Mixable Ring,Classics,Diamond Fashion Ring,This 10K White Gold diamond ring has 22 round-cut diamonds totaling 1/15 ctw.,,249,FR1447.jpg
FR1447R,10K Rose Gold Diamond Mixable Ring,Classics,Diamond Fashion Ring,This 10K Rose Gold diamond ring has 22 round-cut diamonds totaling 1/15 ctw.,,249,FR1447R.jpg
FR1447Y,10KY Diamond Mixable Ring,Classics,Diamond Fashion Ring,This 10K Yellow Gold diamond ring has 22 round-cut diamonds totaling 1/15 ctw.,,227.0833,FR1447Y.jpg
FR1448,10K Diamond Mixable Ring 1/15 ctw,Classics,Diamond Fashion Ring,An interwoven design makes this 10K White Gold Diamond ring a must-have. Total diamond weight is 1/15 ctw.,,249,FR1448.jpg
FR1448R,10KP Diamond Mixable Ring 1/15 ctw,Classics,Diamond Fashion Ring,An interwoven design makes this 10K Rose Gold Diamond ring a must-have. Total diamond weight is 1/15 ctw.,,249,FR1448R.jpg
FR1448Y,10KY Diamond Mixable Ring 1/15 ctw,Classics,Diamond Fashion Ring,An interwoven design makes this 10K Yellow Gold Diamond ring a must-have. Total diamond weight is 1/15 ctw.,,249,FR1448Y.jpg
FR1449,10K Diamond Mixable Band 1/12 ctw,Classics,Diamond Fashion Ring,A 10K diamond ring is set with 1/12 ctw of round-cut diamonds.,,249,FR1449.jpg
FR1449R,10KP Diamond Mixable Ring 1/12 ctw,Classics,Diamond Fashion Ring,A 10K Rose Gold diamond ring is set with 1/12 ctw of round-cut diamonds.,,249,FR1449R.jpg
FR1449Y,10KY Diamond Mixable Ring 1/12 ctw,Classics,Diamond Fashion Ring,A 10K Yellow Gold diamond ring is set with 1/10 ctw of round-cut diamonds.,,249,FR1449Y.jpg
FR1502,Silver Diamond Ring 1/4 ctw,Classics,Diamond Fashion Ring,Two opposing diamond studded hearts are the focus of this Silver diamond ring. Diamond weight is 1/4 ctw.,,399.8261,FR1502.jpg
FR4015EWB,14K Emerald & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Emerald Ring is set with 1/7 ctw of Round-Cut Diamonds and a vibrant Emerald at center.,,549,FR4015EWB.jpg
FR4015RWB,14K Ruby & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Ruby Ring is set with 1/7 ctw of Round-Cut Diamonds and a vibrant Ruby at center.,,549,FR4015RWB.jpg
FR4015SWB,14K Sapphire & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Sapphire Ring is set with 1/7 ctw of Round-Cut Diamonds and a vibrant Sapphire at center.,,549,FR4015SWB.jpg
FR4019-10,10K Garnet & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a deep red Garnet gemstone.,,200,FR4019-10.jpg
FR4020-10,10K Amethyst & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Amethyst gemstone.,,199,FR4020-10.jpg
FR4021-10,10K Aquamarine & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Aquamarine gemstone.,,199,FR4021-10.jpg
FR4022-10,10K White Topaz & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant White Topaz gemstone.,,199,FR4022-10.jpg
FR4023-10,10K Emerald & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Emerald gemstone.,,299,FR4023-10.jpg
FR4024-10,10K Pearl & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Pearl.,,199,FR4024-10.jpg
FR4025-10,10K Ruby & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Ruby gemstone.,,299,FR4025-10.jpg
FR4026-10,10K Peridot & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Peridot gemstone.,,199,FR4026-10.jpg
FR4027-10,10K Sapphire & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Sapphire gemstone.,,299,FR4027-10.jpg
FR4028-10,10K Opal & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Opal gemstone.,,199,FR4028-10.jpg
FR4029-10,10K Citrine & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Citrine gemstone.,,199,FR4029-10.jpg
FR4030-10,10K Blue Topaz & Diamond Ring,Classics,Gemstone Ring,A 10K White Gold fashion ring is set with 6 round cut diamonds and a vibrant Blue Topaz gemstone.,,199,FR4030-10.jpg
FR4031EWB,14K Emerald & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Emerald Ring is set with 1/20 ctw of Round-Cut Diamonds and a vibrant Emerald at center.,,399,FR4031EWB.jpg
FR4031RWB,14K Ruby & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Ruby Ring is set with 1/20 ctw of Round-Cut Diamonds and a vibrant Ruby at center.,,399,FR4031RWB.jpg
FR4031SWB,14K Sapphire & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Sapphire Ring is set with 1/20 ctw of Round-Cut Diamonds and a vibrant Sapphire at center.,,399,FR4031SWB.jpg
FR4042EWB,14K Emerald & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Emerald Ring is set with 1/10 ctw of Round-Cut Diamonds and a vibrant Emerald at center.,,699,FR4042EWB.jpg
FR4042RWB,14K Ruby & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Ruby Ring is set with 1/10 ctw of Round-Cut Diamonds and a vibrant Ruby at center.,,699,FR4042RWB.jpg
FR4042SWB,14K Sapphire & Diamond Ring,Classics,Gemstone Ring,This 14K White Gold Diamond and Sapphire Ring is set with 1/10 ctw of Round-Cut Diamonds and a vibrant Sapphire at center.,,699,FR4042SWB.jpg
FR4053A,Silver Aquamarine Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Aquamarine gemstone at center.",,99,FR4053A.jpg
FR4053B,Silver Blue Topaz Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Blue Topaz gemstone at center.",,99,FR4053B.jpg
FR4053C,Silver Citrine Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Citrine gemstone at center.",,99,FR4053C.jpg
FR4053E,Silver Emerald Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Emerald gemstone at center.",,149,FR4053E.jpg
FR4053G,Silver Garnet Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Garnet gemstone at center.",,99,FR4053G.jpg
FR4053M,Silver Amethyst Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Amethyst gemstone at center.",,99,FR4053M.jpg
FR4053OP,Silver Opal Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Opal gemstone at center.",,99,FR4053OP.jpg
FR4053P,Silver Peridot Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Peridot gemstone at center.",,99,FR4053P.jpg
FR4053PL,Silver Pearl Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Pearl gemstone at center.",,99,FR4053PL.jpg
FR4053R,Silver Ruby Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Ruby gemstone at center.",,149,FR4053R.jpg
FR4053S,Silver Sapphire Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut Sapphire gemstone at center.",,149,FR4053S.jpg
FR4053WT,Silver White Topaz Ring (Available In all BirthStones),Classics,Gemstone Ring,"Featuring an intricately detailed Silver band, this gemstone ring is highlighted by a single round-cut White Topaz gemstone at center.",,99,FR4053WT.jpg
FR4062EWB,14K Emerald & Diamond Ring,Classics,Gemstone Ring,"Framed by a halo of 12 round-cut diamonds, this 14K White Gold is highlighted a gorgeous Emerald at center.",,799,FR4062EWB.jpg
FR4062RWB,14K Ruby & Diamond Ring,Classics,Gemstone Ring,"Framed by a halo of 12 round-cut diamonds, this 14K White Gold is highlighted a gorgeous Ruby at center.",,799,FR4062RWB.jpg
FR4062SWB,14K Sapphire & Diamond Ring,Classics,Gemstone Ring,"Framed by a halo of 12 round-cut diamonds, this 14K White Gold is highlighted a gorgeous Sapphire at center.",,799,FR4062SWB.jpg
FR4066EWB,14K Emerald & Diamond Ring,Classics,Gemstone Ring,"Framed by a halo of 10 round-cut diamonds, this 14K White Gold is highlighted a gorgeous Emerald at center.",,1899.05,FR4066EWB.jpg
FR4066RWB,14K Ruby & Diamond Ring,Classics,Gemstone Ring,"Framed by a halo of 10 round-cut diamonds, this 14K White Gold is highlighted a gorgeous Ruby at center.",,1899.05,FR4066RWB.jpg
FR4066SWB,14K Sapphire & Diamond Ring,Classics,Gemstone Ring,"Framed by a halo of 10 round-cut diamonds, this 14K White Gold is highlighted a gorgeous Sapphire at center.",,1899.05,FR4066SWB.jpg
FR4098,14K Diamond Engagement Ring 1/2 ctw,Classics,Engagement Ring,"Set with 44 round-cut diamonds, this 14K White Gold Diamond Engagement Ring is as timeless as it is gorgeous. Total diamond weight is 1/2 ctw.",,1300,FR4098.jpg
FR4099T,Silver Diamond & Tanzanite Ring,Classics,Gemstone Ring,"Framed by a halo of 12 round-cut diamonds, this 14K White Gold is highlighted a gorgeous Tanzanite at center.",,200,FR4099T.jpg
FR4135,Silver Diamond Ring 1/10ct,Classics,Diamond Ring,This simple Silver Arrow ring features an arrow motif studded with 7 round-cut diamonds. Diamond weight is 1/10 ctw.,,149,FR4135.jpg
FR4154Y,10K Diamond Ring 1/2 ctw,Classics,Diamond Ring,"Set in 10K Yellow Gold, this elegant Diamond ring is studded with 37 round-cut diamonds, weighing 1/2 ctw.",,500,FR4154Y.jpg
FR4155/25,14K Diamond Ring 1/4 ctw,Classics,Diamond Ring,A simple 14K White Gold Diamond ring is set with 12 round-cut diamonds. Diamond weight is 1/4 ctw.,,800,FR4155/25.jpg
FR4155/50,14K Diamond Ring 1/2 ctw,Classics,Diamond Ring,A simple 14K White Gold Diamond ring is set with 12 round-cut diamonds. Diamond weight is 1/2 ctw.,,1500,FR4155/50.jpg
FR4155/75,14K Diamond Ring 3/4 ctw,Classics,Diamond Ring,A simple 14K White Gold Diamond ring is set with 12 round-cut diamonds. Diamond weight is 3/4 ctw.,,2000,FR4155/75.jpg
FWPS10.5,Fresh Water White Pearl Studs 10 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 10.5 mm.,,30,FWPS10.5.jpg
FWPS4.5,Fresh Water White Pearl Studs 4.5 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 4.5 mm.,,8,FWPS4.5.jpg
FWPS5.5,Silver White F.W Pearl Studs 5.5 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 5.5 mm.,,9,FWPS5.5.jpg
FWPS6.0,Silver White F.W Pearl Studs 6 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 6 mm.,,10,FWPS6.0.jpg
FWPS7.0,Fresh Water White Pearl Studs 7 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 7 mm.,,11,FWPS7.0.jpg
FWPS8.0,Silver White F.W Pearl Studs 8 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 8 mm.,,14,FWPS8.0.jpg
FWPS8.5,Fresh Water White Pearl Studs 8.5 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 8.5 mm.,,8,FWPS8.5.jpg
FWPS9.5,Silver White F.W Pearl Studs 9.5 mm,Classics,Pearl Studs,These elegant White Pearl studs are crafted from Silver and set with 2 Freshwater Pearls. Pearl diameter is 9.5 mm.,,24,FWPS9.5.jpg
GOC101SWB,14K Sapphire & Diamond Bracelet,Classics,Bracelet,This luxurious 14K Diamond and Sapphire bracelet is set with alternating diamonds and sapphires. Total diamond weight is 1/2 ctw.,,2649,GOC101SWB.jpg
GRSE6025,10KW Green Diamond Studs 1/4 ctw,Classics,Earrings,"Handcrafted in precious 10K White gold, these stud earrings each feature an enchanting round-cut Green Diamond. Buffed to a polished finish, the earrings secure comfortably with friction backs. Total Diamond weight is 1/4 ctw.",,199,GRSE6025.jpg
GRSE6050,10KW Green Diamond Studs 1/2 ctw,Classics,Earrings,"Handcrafted in precious 10K White gold, these stud earrings each feature an enchanting round-cut Green Diamond. Buffed to a polished finish, the earrings secure comfortably with friction backs. Total Diamond weight is 1/2 ctw.",,499,GRSE6050.jpg
GRSE6070,14K Green Diamond Studs 3/4 ctw,Classics,Earrings,"Handcrafted in precious 10K White gold, these stud earrings each feature an enchanting round-cut Green Diamond. Buffed to a polished finish, the earrings secure comfortably with friction backs. Total Diamond weight is 3/4 ctw.",,999,GRSE6070.jpg
GRSE6100,10KW Green Diamond Studs 1 ctw,Classics,Earrings,"Handcrafted in precious 10K White gold, these stud earrings each feature an enchanting round-cut Green Diamond. Buffed to a polished finish, the earrings secure comfortably with friction backs. Total Diamond weight is 1 ctw.",,1399,GRSE6100.jpg
GW054B03,Silver Fresh Water Pearl Necklace,Classics,Pearl Necklace,"Crafted from Silver, this Freshwater pearl necklace is sure to add some elegance to your collection.",,50,GW054B03.jpg
GW064B01,Silver Fresh Water Pearl Necklace,Classics,Pearl Necklace,"Crafted from Silver, this Freshwater pearl necklace is sure to add some elegance to your collection.",,200,GW064B01.jpg
GW064N01,Silver Fresh Water Pearl Necklace,Classics,Pearl Necklace,"Crafted from Silver, this Freshwater pearl necklace is sure to add some elegance to your collection.",,500,GW064N01.jpg
GW080N01,Silver Fresh Water Pearl Necklace,Classics,Pearl Necklace,"Crafted from Silver, this Freshwater pearl necklace is sure to add some elegance to your collection.",,260,GW080N01.jpg
GW091E01,Silver Fresh Water Pearl Necklace,Classics,Pearl Necklace,"Crafted from Silver, this Freshwater pearl earrings are sure to add some elegance to your collection.",,140,GW091E01.jpg
GW110N01,Silver Fresh Water Pearl Necklace,Classics,Pearl Necklace,"Crafted from Silver, this Freshwater pearl necklace is sure to add some elegance to your collection.",,550,GW110N01.jpg
H130WA3,14K Diamond Bracelet 3 ctw,Classics,Diamond Bracelet,"Set with 64 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 3 ctw.",,5100,H130WA3.jpg
H130WA5,14K Diamond Bracelet 5 ctw,Classics,Diamond Bracelet,"Set with 56 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 5 ctw.",,7900,H130WA5.jpg
H130WA7,14K Diamond Bracelet 7 ctw,Classics,Diamond Bracelet,"Set with 49 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 7 ctw.",,12300,H130WA7.jpg
H131WA10,14K Diamond Bracelet 10 ctw,Classics,Diamond Bracelet,"Set with 40 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 10 ctw.",,21700,H131WA10.jpg
H131WA2,14K Diamond Bracelet 2 ctw,Classics,Diamond Bracelet,"Set with 62 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 2 ctw.",,3550,H131WA2.jpg
H131WA3,14K Diamond Bracelet 3 ctw,Classics,Diamond Bracelet,"Set with 55 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 3 ctw.",,4850,H131WA3.jpg
H131WA4,14K Diamond Bracelet 4 ctw,Classics,Diamond Bracelet,"Set with 52 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 4 ctw.",,6000,H131WA4.jpg
H131WA5,14K Diamond Bracelet 5 ctw,Classics,Diamond Bracelet,"Set with 50 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 5 ctw.",,7700,H131WA5.jpg
H131WA7,14K Diamond Bracelet 7 ctw,Classics,Diamond Bracelet,"Set with 44 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 7 ctw.",,11900,H131WA7.jpg
H946WA2,14K Diamond Bracelet 2 ctw,Classics,Diamond Bracelet,"Set with 69 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 2 ctw.",,3100,H946WA2.jpg
H946WA3,14K Diamond Bracelet 3 ctw,Classics,Diamond Bracelet,"Set with 60 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 3 ctw.",,4850,H946WA3.jpg
H946WA7,14K Diamond Bracelet 7 ctw,Classics,Diamond Bracelet,"Set with 44 round-cut diamonds, this 14K White Gold Diamond bracelet evokes a sense of high luxury. Total Diamond weight is 7 ctw.",,0,H946WA7.jpg
HDCR005,14K Diamond Cross Pendant 1/10 ctw,Classics,Diamond Pendant,"This 14K Diamond Cross pendant is set with 11 round-cut diamonds, weighing 1/10 ctw.",,219,HDCR005.jpg
HDCR006,14K Diamond Cross 1/5 ctw,Classics,Diamond Pendant,"This 14K Diamond Cross pendant is set with 11 round-cut diamonds, weighing 1/5 ctw.",,299,HDCR006.jpg
HDCR006A,14K Diamond Cross Pendant 1/4 ctw,Classics,Diamond Pendant,"This 14K Diamond Cross pendant is set with 11 round-cut diamonds, weighing 1/4 ctw.",,369,HDCR006A.jpg
HDCR007,14K Diamond Cross Pendant 1/3 ctw,Classics,Diamond Pendant,"This 14K Diamond Cross pendant is set with 11 round-cut diamonds, weighing 1/3 ctw.",,489,HDCR007.jpg
HDCR008,14K Diamond Cross Pendant 1/2 ctw,Classics,Diamond Pendant,"This 14K Diamond Cross pendant is set with 11 round-cut diamonds, weighing 1/2 ctw.",,699,HDCR008.jpg
HDCR009,14K Diamond Cross Pendant 3/4 ctw,Classics,Diamond Pendant,"This 14K Diamond Cross pendant is set with 11 round-cut diamonds, weighing 3/4 ctw.",,1049,HDCR009.jpg
HDCR010,14K Diamond Cross Pendant 1 ctw,Classics,Diamond Pendant,"This 14K Diamond Cross pendant is set with 11 round-cut diamonds, weighing 1 ctw.",,1449,HDCR010.jpg
HDER004EWB,14K Emerald & Diamond Earrings,Classics,Gemstone Earrings,These Emerald and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 3/5 ctw.,,2199,HDER004EWB.jpg
HDER004RWB,14K Ruby & Diamond Earrings,Classics,Gemstone Earrings,These Ruby and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 3/5 ctw.,,2199,HDER004RWB.jpg
HDER004SWB,14K Sapphire & Diamond Earrings,Classics,Gemstone Earrings,These Sapphire and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 3/5 ctw.,,2199,HDER004SWB.jpg
HDER010EWB,14K Emerald & Diamond Earrings,Classics,Gemstone Earrings,These Emerald and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 1/3 ctw.,,1299,HDER010EWB.jpg
HDER010EYB,14K Emerald & Diamond Earrings,Classics,Gemstone Earrings,These Yellow Gold Emerald and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 1/3 ctw.,,1199,HDER010EYB.jpg
HDER010RWB,14K Ruby & Diamond Earrings,Classics,Gemstone Earrings,These Ruby and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 1/3 ctw.,,1298.9167,HDER010RWB.jpg
HDER010RYB,14KY Ruby & Diamond Earrings,Classics,Gemstone Earrings,These Yellow Gold Ruby and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 1/3 ctw.,,1299,HDER010RYB.jpg
HDER010SWB,14K Sapphire & Diamond Earrings,Classics,Gemstone Earrings,These Sapphire and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 4 round cut diamonds weighing 1/3 ctw.,,1298.9167,HDER010SWB.jpg
HDER021EWB,14K Emerald & Diamond Earrings,Classics,Gemstone Earrings,These Emerald and Diamond stud earrings are sure to add some flare to your wardrobe. Set with 32 round cut diamonds weighing 1/5 ctw.,,999,HDER021EWB.jpg
HDER021RWB,14K Ruby & Diamond Earrings,Classics,Gemstone Earrings,These Ruby and Diamond stud earrings are sure to add some flare to your wardrobe. Set with 32 round cut diamonds weighing 1/5 ctw.,,999,HDER021RWB.jpg
HDER021SWB,14K Sapphire & Diamond Earrings,Classics,Gemstone Earrings,These Sapphire and Diamond stud earrings are sure to add some flare to your wardrobe. Set with 32 round cut diamonds weighing 1/5 ctw.,,999,HDER021SWB.jpg
HDER074EWA,14K Emerald & Diamond Earrings,Classics,Gemstone Earrings,These Emerald and Diamond drop earrings are sure to add some flare to your wardrobe. Set with 40 round cut diamonds weighing 1/3 ctw.,,899,HDER074EWA.jpg
HDER074RWA,14K Ruby & Diamond Earrings,Classics,Gemstone Earrings,These Ruby and Diamond drop earrings are sure to add some flare to your wardrobe. Set with 40 round cut diamonds weighing 1/3 ctw.,,899,HDER074RWA.jpg
HDER074SWA,14K Sapphire & Diamond Earrings,Classics,Gemstone Earrings,These Sapphire and Diamond drop earrings are sure to add some flare to your wardrobe. Set with 40 round cut diamonds weighing 1/3 ctw.,,899,HDER074SWA.jpg
HDER078,Silver Diamond Earrings,Classics,Diamond Earrings,"Crafted from Silver, these Diamond earrings are set with 18 square cut diamonds.",,130,HDER078.jpg
HDER101EWB,14K Emerald & Diamond Earrings,Classics,Gemstone Earrings,These Emerald and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 8 round cut diamonds weighing 1/5 ctw.,,899,HDER101EWB.jpg
HDER101RWB,14K Ruby & Diamond Earrings,Classics,Gemstone Earrings,These Ruby and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 8 round cut diamonds weighing 1/5 ctw.,,899,HDER101RWB.jpg
HDER101SWB,14K Sapphire & Diamond Earrings,Classics,Gemstone Earrings,These Sapphire and Diamond hoop earrings are sure to add some flare to your wardrobe. Set with 8 round cut diamonds weighing 1/5 ctw.,,899,HDER101SWB.jpg
HDER115EWA,14K Emerald & Diamond Earrings,Classics,Gemstone Earrings,"Get your fix of vintage with these grogeous Diamond and Emerald square Stud earrings. Set with 16 round-cut diamonds, weighing 9/10 ctw.",,1799,HDER115EWA.jpg
HDER115RWA,14K Ruby & Diamond Earrings,Classics,Gemstone Earrings,"Get your fix of vintage with these grogeous Diamond and Ruby square Stud earrings. Set with 16 round-cut diamonds, weighing 9/10 ctw.",,1799,HDER115RWA.jpg
HDER115SWA,14K Sapphire & Diamond Earrings,Classics,Gemstone Earrings,"Get your fix of vintage with these grogeous Diamond and Sapphire square Stud earrings. Set with 16 round-cut diamonds, weighing 9/10 ctw.",,1799,HDER115SWA.jpg
HDP438EWB,14K Emerald & Diamond Pendant,Classics,Gemstone Pendant,"Brilliant in every way, this gemstone and diamond pendant features a rich Emerald surrounded by a sparkling halo of micropavé set diamonds in 14K white gold.",,748.75,HDP438EWB.jpg
HDP438RWB,14K Ruby & Diamond Pendant,Classics,Gemstone Pendant,"Brilliant in every way, this gemstone and diamond pendant features a rich Ruby surrounded by a sparkling halo of micropavé set diamonds in 14K white gold.",,748.75,HDP438RWB.jpg
